TIPO_DENUNCIA;NIVEL_EDUCATIVO;EST_CIVIL;MODALIDAD;SEXO;EDAD;MES;FISICA;PSICOLOGICA;FISICA_PSICOLOGICA
ACTA DE DENUNCIA VERBAL;SUPERIOR;SOLTERO(A);VIOLENCIA PSICOLOGICA;F;21;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;F;16;ENERO;0;1;0
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA;M;33;ENERO;1;0;0
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;18;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;18;ENERO;0;0;1
DENUNCIA;SECUNDARIA;CONVIVIENTE;VIOLENCIA FISICA Y PSICOLOGICA;M;27;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;17;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;17;ENERO;0;0;1
DENUNCIA;SUPERIOR;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;38;ENERO;0;0;1
DENUNCIA;PRIMARIA;CONVIVIENTE;VIOLENCIA FISICA Y PSICOLOGICA;M;26;ENERO;0;0;1
DENUNCIA;PRIMARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;51;ENERO;0;1;0
DENUNCIA;SIN INSTRUCCION;CONVIVIENTE;VIOLENCIA FISICA;F;74;ENERO;1;0;0
DENUNCIA;SIN INSTRUCCION;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;68;ENERO;0;0;1
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;20;ENERO;0;0;1
DENUNCIA;PRIMARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;F;17;ENERO;0;1;0
DENUNCIA;PRIMARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;17;ENERO;0;0;1
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;16;ENERO;0;0;1
DENUNCIA;SIN INSTRUCCION;CONVIVIENTE;VIOLENCIA PSICOLOGICA;F;37;ENERO;0;1;0
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;M;16;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;17;ENERO;0;0;1
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;17;ENERO;0;0;1
DENUNCIA;SECUNDARIA;CONVIVIENTE;VIOLENCIA FISICA Y PSICOLOGICA;M;27;ENERO;0;0;1
DENUNCIA;SECUNDARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;27;ENERO;0;1;0
ACTA DE INTERVENCION;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;16;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SUPERIOR;CASADO(A);VIOLENCIA PSICOLOGICA;M;53;ENERO;0;1;0
ACTA DE INTERVENCION;SECUNDARIA;CONVIVIENTE;VIOLENCIA FISICA Y PSICOLOGICA;F;17;ENERO;0;0;1
OCURRENCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;M;33;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;PRIMARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;57;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;25;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;PRIMARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;32;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;CONVIVIENTE;VIOLENCIA FISICA;M;32;ENERO;1;0;0
ACTA DE INTERVENCION;PRIMARIA;CASADO(A);VIOLENCIA PSICOLOGICA;M;69;ENERO;0;1;0
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;48;ENERO;0;0;1
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;M;16;ENERO;0;1;0
DENUNCIA;SECUNDARIA;CASADO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;46;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SUPERIOR;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;34;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;TECNICA;SOLTERO(A);VIOLENCIA PSICOLOGICA;M;28;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;M;34;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;22;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;18;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;31;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;NO INDICA;VIOLENCIA FISICA Y PSICOLOGICA;M;31;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;M;16;ENERO;0;1;0
ACTA DE INTERVENCION;SECUNDARIA;CONVIVIENTE;VIOLENCIA FISICA Y PSICOLOGICA;M;33;ENERO;0;0;1
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;19;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;NO INDICA;VIOLENCIA PSICOLOGICA;M;37;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;22;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;67;ENERO;0;1;0
DENUNCIA;SECUNDARIA;CONVIVIENTE;VIOLENCIA FISICA Y PSICOLOGICA;F;17;ENERO;0;0;1
DENUNCIA;SECUNDARIA;CONVIVIENTE;VIOLENCIA FISICA Y PSICOLOGICA;F;17;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;M;16;ENERO;0;1;0
ACTA DE INTERVENCION;SECUNDARIA;CONVIVIENTE;VIOLENCIA FISICA Y PSICOLOGICA;M;23;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;F;30;ENERO;0;1;0
DENUNCIA;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;F;30;ENERO;0;1;0
ACTA DE INTERVENCION;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;40;ENERO;0;0;1
ACTA DE INTERVENCION;SECUNDARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;35;ENERO;0;1;0
DENUNCIA;SUPERIOR;SOLTERO(A);VIOLENCIA PSICOLOGICA;M;31;ENERO;0;1;0
ACTA DE INTERVENCION;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;16;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;F;16;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;37;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SUPERIOR;SOLTERO(A);VIOLENCIA PSICOLOGICA;F;46;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;CASADO(A);VIOLENCIA PSICOLOGICA;F;46;ENERO;0;1;0
ACTA DE INTERVENCION;TECNICA;SOLTERO(A);VIOLENCIA FISICA;M;27;ENERO;1;0;0
ACTA DE DENUNCIA VERBAL;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;17;ENERO;0;0;1
ACTA DE INTERVENCION;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;M;20;ENERO;0;0;1
ACTA DE INTERVENCION;SECUNDARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;16;ENERO;0;0;1
ACTA DE INTERVENCION;SUPERIOR;CASADO(A);VIOLENCIA PSICOLOGICA;M;36;ENERO;0;1;0
ACTA DE INTERVENCION;SECUNDARIA;SOLTERO(A);VIOLENCIA PSICOLOGICA;M;18;ENERO;0;1;0
DENUNCIA;SIN INSTRUCCION;SOLTERO(A);VIOLENCIA PSICOLOGICA;F;43;ENERO;0;1;0
ACTA DE DENUNCIA VERBAL;TECNICA;CASADO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;45;ENERO;0;0;1
ACTA DE INTERVENCION;PRIMARIA;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;45;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;M;22;ENERO;0;1;0
ACTA DE INTERVENCION;SIN INSTRUCCION;SOLTERO(A);VIOLENCIA FISICA Y PSICOLOGICA;F;34;ENERO;0;0;1
ACTA DE DENUNCIA VERBAL;SECUNDARIA;CONVIVIENTE;VIOLENCIA PSICOLOGICA;F;19;ENERO;0;1;0
OCURRENCIA;SECUNDARIA;NO INDICA;VIOLENCIA FISICA Y PSICOLOGICA;F;16;ENERO;0;0;1
